Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2",Pololu_Breakout-16_15.2x20.3mm,2,Pololu_Breakout_DRV8825,
"C1, C2",1210,2,10u,C77102
"C11, C14",1206,2,22u,C12891
"C12, C26",402,2,1u,C52923
"C13, C24",603,2,10u,C96446
C15,CP_Elec_6.3x5.9,1,10u(25v),C176699
"C23, C6",402,2,100n,C1525
"C25, C27",CP_Elec_6.3x7.7,2,100u,C3339
C3,603,1,10p,C1634
C4,603,1,1n,C1588
C5,603,1,47n,C1622
"C7, C8, C9",1210,3,47u,C77101
D1,D_SMC,1,DB540C-13-F,C72264
D12,603,1,RED_LED,C2286
"D3, D4, D5",D_SOD-523,3,LESD5D5.0CT1G,C5199850
D6,D_SOD-323,1,1N5819WS,C191023
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J11,JST_PH_B9B-PH-SM4-TB_1x09-1MP_P2.00mm_Vertical,1,Encoder,C545753
J12,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Limit Switch 1,C566009
J13,BarrelJack_Wuerth_6941xx301002,1,6.94108E+11,C5354965
J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Limit Switch 3,C131339
"J3, J8",PinHeader_2x03_P2.54mm_Vertical,2,MS_Jumpers,C706893
"J4, J6",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,2,Conn_01x04_Female,C566009
J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Limit Switch 2,C566009
J7,TerminalBlock_bornier-2_P5.08mm,1,Power switch,
J9,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,OLED,C160404
L1,L_6.3x6.3_H3,1,8.2uH,C506576
"Q2, Q3",SOT-23,2,L8050QLT1G,C49581
R1,603,1,30k,C22984
R10,402,1,1k,C11702
"R11, R12, R17",402,3,10k,C25744
"R13, R14, R5, R8, R9",402,5,0E,C17168
R15,603,1,4.7k,C23162
"R16, R19",603,2,100k,C25803
"R18, R20",402,2,4k7,C25900
R2,603,1,10k,C25804
"R21, R22",201,2,5.1k,C226588
R3,603,1,2k,C22975
R6,402,1,22.1k,C423296
R7,402,1,47.5k,C25896
S1,TS1187ABAB,1,BOOT,C318884
S2,TS1187ABAB,1,RESET,C318884
"U0RXD1, U0TXD1",TestPoint_Pad_D2.5mm,2,TestPoint,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm_ThermalVias,1,TPS54531,C50605
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28,C964632
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913199
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
