Designator,Mid X,Mid Y,Rotation,Layer
A1,108.6458,-85.3998,0.0,top
A2,108.6458,-106.304,0.0,top
C1,143.775423,-102.976126,90.0,top
C11,139.9172,-91.25,0.0,top
C12,152.717019,-72.5932,0.0,top
C13,155.3718,-72.0598,135.0,top
C14,134.747,-85.471,90.0,top
C15,129.102577,-85.471,270.0,top
C2,148.441823,-102.976126,90.0,top
C23,124.208981,-42.847962,0.0,top
C24,124.028981,-39.672962,90.0,top
C25,114.9858,-99.9998,90.0,top
C26,149.7243,-40.033,90.0,top
C27,114.9858,-120.904,90.0,top
C3,161.030223,-104.946126,90.0,top
C4,166.745689,-104.946126,90.0,top
C5,153.503223,-110.025126,0.0,top
C6,160.979423,-102.392926,90.0,top
C7,147.466623,-95.606126,270.0,top
C8,142.861023,-95.606126,270.0,top
C9,138.263623,-95.606126,270.0,top
D1,155.185723,-96.881126,180.0,top
D12,134.8994,-80.2894,180.0,top
D3,158.7903,-77.351,0.0,top
D4,158.7903,-75.851,0.0,top
D5,158.7903,-79.051,0.0,top
D6,157.8403,-81.0,0.0,top
J1,166.938,-76.601,90.0,top
J11,164.915707,-59.1706,270.0,top
J12,103.0,-65.786,90.0,top
J13,155.391423,-120.037126,0.0,top
J2,114.078,-40.344,0.0,top
J3,113.7108,-106.584,0.0,top
J4,103.0,-97.0,90.0,top
J5,103.0,-79.66,90.0,top
J6,103.0,-118.0,90.0,top
J7,135.382,-129.54,0.0,top
J8,113.7108,-85.6798,0.0,top
J9,104.553,-51.6206,270.0,top
L1,164.637023,-96.881126,90.0,top
Q2,145.0004,-78.2828,180.0,top
Q3,145.0004,-74.803,180.0,top
R1,163.887956,-105.721126,0.0,top
R10,150.253219,-72.5932,0.0,top
R11,147.6143,-79.695,90.0,top
R12,147.6143,-75.597133,90.0,top
R13,147.6143,-77.646066,90.0,top
R14,147.6143,-73.5482,90.0,top
R15,131.8768,-80.2894,0.0,top
R16,114.9858,-114.9096,180.0,top
R17,149.7243,-41.938,270.0,top
R18,137.671838,-60.96,180.0,top
R19,114.9858,-93.745238,180.0,top
R2,168.497823,-108.221726,90.0,top
R20,135.381838,-60.96,0.0,top
R21,160.602181,-74.467219,90.0,top
R22,160.602181,-78.226419,270.0,top
R3,168.472423,-104.996126,90.0,top
R5,124.228981,-41.770462,180.0,top
R6,152.717019,-71.5,180.0,top
R7,150.253219,-71.475,0.0,top
R8,152.5143,-80.9324,270.0,top
R9,151.0143,-80.9324,270.0,top
S1,155.36,-46.725,180.0,top
S2,155.36,-40.96,180.0,top
U1,155.208223,-105.086126,0.0,top
U2,151.5143,-76.6216,180.0,top
U3,135.256838,-47.660981,0.0,top
U4,139.9172,-85.471,90.0,top
